step,vehicles_total,vehicles_waiting,mean_speed_ms,tl_phase,ambulances_active
5.0,1,0,13.886,0,
5.1,1,0,13.867,0,
5.2,1,0,13.824,0,
5.3,1,0,13.754,0,
5.4,1,0,13.82,0,
5.5,1,0,13.738,0,
5.6,1,0,13.781,0,
5.7,1,0,13.795,0,
5.8,1,0,13.851,0,
5.9,1,0,13.773,0,
6.0,1,0,13.736,0,
6.1,1,0,13.83,0,
6.2,1,0,13.781,0,
6.3,1,0,13.888,0,
6.4,1,0,13.885,0,
6.5,1,0,13.813,0,
6.6,1,0,13.748,0,
6.7,1,0,13.798,0,
6.8,1,0,13.851,0,
6.9,1,0,13.767,0,
7.0,1,0,13.845,0,
7.1,1,0,13.781,0,
7.2,1,0,13.84,0,
7.3,1,0,13.849,0,
7.4,1,0,13.814,0,
7.5,1,0,13.841,0,
7.6,1,0,13.8,0,
7.7,1,0,13.859,0,
7.8,1,0,13.768,0,
7.9,1,0,13.767,0,
8.0,1,0,13.774,0,
8.1,1,0,13.887,0,
8.2,1,0,13.833,0,
8.3,1,0,13.847,0,
8.4,1,0,13.865,0,
8.5,1,0,13.841,0,
8.6,2,0,13.553,0,
8.7,2,0,13.531,0,
8.8,2,0,13.529,0,
8.9,2,0,13.543,0,
9.0,2,0,13.525,0,
9.1,2,0,13.607,0,
9.2,3,0,13.652,0,
9.3,4,0,13.736,0,
9.4,4,0,13.691,0,
9.5,4,0,13.679,0,
9.6,4,0,13.695,0,
9.7,4,0,13.687,0,
9.8,4,0,13.692,0,
9.9,4,0,13.66,0,
10.0,4,0,13.683,0,
10.1,5,0,13.574,0,
10.2,5,0,13.546,0,
10.3,5,0,13.57,0,
10.4,5,0,13.555,0,
10.5,5,0,13.575,0,
10.6,5,0,13.536,0,
10.7,5,0,13.528,0,
10.8,5,0,13.551,0,
10.9,5,0,13.553,0,
11.0,5,0,13.585,0,
11.1,5,0,13.526,0,
11.2,5,0,13.554,0,
11.3,5,0,13.458,0,
